agencyId,color,description,routeId,longName,shortName,textColor,type,url
74,,Pte. La Noria - D´onofrio x Celina: a Pte. La Noria x Celina,74_977,JPBSAS298,298RC,,3,
74,,Ramal 4: Ramal 4 - IDA,74_1930,JPBSAS242,242D,,3,
74,,Ramal 2: Ramal 2 - VUELTA,74_1921,JPBSAS242,242B,,3,
74,,Ramal 2: Ramal 2 - IDA,74_1920,JPBSAS242,242B,,3,
74,,Ramal 3: Ramal 3 - VUELTA,74_1929,JPBSAS242,242C,,3,
74,,Ramal 3: Ramal 3 - IDA,74_1928,JPBSAS242,242C,,3,
74,,Ramal 6: Ramal 6 - VUELTA,74_1935,JPBSAS242,242F,,3,
74,,Ramal 6: Ramal 6 - IDA,74_1934,JPBSAS242,242F,,3,
74,,Ramal 5: Ramal 5 - VUELTA,74_1933,JPBSAS242,242E,,3,
74,,Ramal 5: Ramal 5 - IDA,74_1932,JPBSAS242,242E,,3,
74,,Ramal 4: Ramal 4 - VUELTA,74_1931,JPBSAS242,242D,,3,
74,,Av.Rivadavia y Barragan - Virgenes y E. Echeverria x Laferrere: a Virgenes y E. Echeverria x Laferrere,74_1545,JNAMBA174,174A,,3,
74,,Est. Morón - San Francisco: a Est. Morón,74_1554,JMMORN635,635A,,3,
74,,Est. Morón - San Francisco: a San Francisco,74_1553,JMMORN635,635A,,3,
74,,Est. Morón - Bº Los Pinos: Est. Morón - B° Los Pinos - IDA,74_1552,JPBSAS317,317B,,3,
74,,Est. Morón - I. Casanova: Est. Morón - I. Casanova - IDA,74_1551,JPBSAS317,317A,,3,
74,,Av.Rivadavia y Barragan- El Cisne y Palo Cruz: a Av.Rivadavia y Barragan- El Cisne y,74_1550,JNAMBA174,174C,,3,
74,,Av.Rivadavia y Barragan- El Cisne y Palo Cruz: a El Cisne y Palo Cruz,74_1549,JNAMBA174,174C,,3,
74,,Av.Rivadavia y Barragan - Marconi y J. M. Lanza x I. Casanova: a Av.Rivadavia y Barragan,74_1548,JNAMBA174,174B,,3,
74,,Av.Rivadavia y Barragan - Marconi y J. M. Lanza x I. Casanova: a Marconi y J. M. Lanza x I. Casanova,74_1547,JNAMBA174,174B,,3,
74,,Av.Rivadavia y Barragan - Virgenes y E. Echeverria x Laferrere: a Av.Rivadavia y Barragan,74_1546,JNAMBA174,174A,,3,
74,,Alberdi y Rigloes - Polledo y Santa Cruz Bº Ingeniero: a Polledo y Santa Cruz B° Ingeniero,74_1599,JNAMBA172,172B,,3,
